x1,x2,y_clybrkcm
5.86305,1705.6,0.904929
5.84981,1709.46,0.904303
5.83664,1713.31,0.901466
5.82352,1717.17,0.900939
5.81046,1721.03,0.900196
5.79746,1724.89,0.899096
5.78452,1728.75,0.898784
5.77164,1732.61,0.896814
5.75882,1736.47,0.897054
5.74605,1740.33,0.896233
5.73333,1744.18,0.892485
5.72068,1748.04,0.894118
5.70808,1751.9,0.895066
5.69553,1755.76,0.899656
5.68304,1759.62,0.899236
5.67061,1763.48,0.900376
5.65822,1767.34,0.900746
5.6459,1771.2,0.900234
5.63362,1775.06,0.902985
5.6214,1778.91,0.90478
5.60924,1782.77,0.90275
5.59712,1786.63,0.902737
5.58506,1790.49,0.901157
5.57305,1794.35,0.900861
5.56109,1798.21,0.901699
5.54918,1802.07,0.899865
5.53732,1805.93,0.896175
5.52552,1809.78,0.893315
5.51376,1813.64,0.891423
5.50205,1817.5,0.8887
5.4904,1821.36,0.883336
5.47879,1825.22,0.880415
5.46723,1829.08,0.882959
