,x1,x2,y_oakface,y_clybrkcm,y_distd_wn,x2,y_sndpgaz1
367,4.75499,2103.05,0.965402,0.737078,0.97989,2103.05,0.910112
366,4.76373,2099.19,0.964517,0.739012,0.97989,2099.19,0.913204
365,4.7725,2095.34,0.963714,0.74131,0.97989,2095.34,0.913363
364,4.78131,2091.48,0.964986,0.741494,0.97989,2091.48,0.915754
363,4.79014,2087.62,0.965048,0.745302,0.97989,2087.62,0.917944
362,4.79902,2083.76,0.962477,0.74758,0.97989,2083.76,0.922365
361,4.80792,2079.9,0.96342,0.749377,0.979894,2079.9,0.926197
360,4.81686,2076.04,0.963747,0.751036,0.979899,2076.04,0.926122
359,4.82583,2072.18,0.962836,0.75985,0.979914,2072.18,0.933331
358,4.83483,2068.32,0.963983,0.759792,0.979932,2068.32,0.935376
357,4.84387,2064.47,0.962516,0.767832,0.97995,2064.47,0.943162
356,4.85294,2060.61,0.96239,0.771391,0.979968,2060.61,0.948467
355,4.86204,2056.75,0.964883,0.77693,0.979989,2056.75,0.950847
354,4.87118,2052.89,0.965134,0.783827,0.980017,2052.89,0.954236
353,4.88035,2049.03,0.96422,0.792438,0.980044,2049.03,0.960069
352,4.88956,2045.17,0.96436,0.798083,0.980072,2045.17,0.964448
351,4.89881,2041.31,0.963522,0.800453,0.9801,2041.31,0.967938
350,4.90808,2037.45,0.966353,0.81002,0.980132,2037.45,0.969887
349,4.9174,2033.59,0.961983,0.816206,0.980165,2033.59,0.972292
348,4.92675,2029.74,0.961094,0.823808,0.980193,2029.74,0.975748
347,4.93613,2025.88,0.963167,0.828754,0.980221,2025.88,0.973849
346,4.94555,2022.02,0.962491,0.830243,0.980253,2022.02,0.974372
345,4.95501,2018.16,0.960993,0.835594,0.980286,2018.16,0.976736
344,4.9645,2014.3,0.961554,0.83771,0.980317,2014.3,0.976551
343,4.97403,2010.44,0.96158,0.844187,0.980345,2010.44,0.979651
342,4.98359,2006.58,0.962409,0.84889,0.980374,2006.58,0.9803
341,4.9932,2002.72,0.962088,0.853631,0.980403,2002.72,0.980355
340,5.00283,1998.87,0.961935,0.856386,0.980432,1998.87,0.980123
339,5.01251,1995.01,0.961753,0.857268,0.980461,1995.01,0.979493
338,5.02223,1991.15,0.962516,0.859154,0.98049,1991.15,0.979966
337,5.03198,1987.29,0.961578,0.858474,0.980519,1987.29,0.979152
336,5.04177,1983.43,0.962001,0.860118,0.980549,1983.43,0.978796
335,5.0516,1979.57,0.960359,0.86268,0.980578,1979.57,0.979812
334,5.06146,1975.71,0.9619,0.861839,0.980607,1975.71,0.979782
333,5.07137,1971.85,0.961355,0.863979,0.980638,1971.85,0.978157
332,5.08131,1967.99,0.962709,0.862832,0.98067,1967.99,0.980995
331,5.09129,1964.14,0.960857,0.862628,0.98071,1964.14,0.979422
330,5.10132,1960.28,0.96096,0.864116,0.980749,1960.28,0.980265
329,5.11138,1956.42,0.961682,0.864291,0.98079,1956.42,0.981232
328,5.12148,1952.56,0.96182,0.864284,0.980835,1952.56,0.980288
327,5.13162,1948.7,0.960544,0.867045,0.98089,1948.7,0.981155
326,5.1418,1944.84,0.960595,0.867555,0.980946,1944.84,0.980215
325,5.15202,1940.98,0.961088,0.86767,0.981002,1940.98,0.978789
324,5.16229,1937.12,0.961476,0.870445,0.981058,1937.12,0.979848
323,5.17259,1933.27,0.960493,0.870653,0.981116,1933.27,0.982898
322,5.18294,1929.41,0.960404,0.873653,0.981171,1929.41,0.981447
321,5.19332,1925.55,0.960156,0.876823,0.981222,1925.55,0.981013
320,5.20375,1921.69,0.96051,0.877193,0.981274,1921.69,0.979468
319,5.21422,1917.83,0.958854,0.875447,0.981327,1917.83,0.98055
318,5.22473,1913.97,0.959529,0.880069,0.981379,1913.97,0.981571
317,5.23529,1910.11,0.959089,0.883551,0.981432,1910.11,0.983215
316,5.24589,1906.25,0.960636,0.885419,0.981485,1906.25,0.980265
315,5.25653,1902.4,0.961635,0.889846,0.981538,1902.4,0.981454
314,5.26721,1898.54,0.961104,0.892731,0.981592,1898.54,0.984192
313,5.27794,1894.68,0.961107,0.89517,0.981645,1894.68,0.986658
312,5.28871,1890.82,0.95909,0.897323,0.981704,1890.82,0.985248
311,5.29953,1886.96,0.959833,0.900908,0.981764,1886.96,0.987194
310,5.31039,1883.1,0.960888,0.902757,0.981835,1883.1,0.982489
309,5.32129,1879.24,0.960695,0.905131,0.981908,1879.24,0.987346
308,5.33224,1875.38,0.960459,0.905176,0.981984,1875.38,0.986127
307,5.34323,1871.52,0.959177,0.905669,0.98206,1871.52,0.987131
306,5.35427,1867.67,0.957455,0.904371,0.982138,1867.67,0.988145
305,5.36536,1863.81,0.960941,0.904889,0.982219,1863.81,0.986772
304,5.37649,1859.95,0.960878,0.904324,0.982303,1859.95,0.988346
303,5.38767,1856.09,0.961575,0.904596,0.982382,1856.09,0.986507
302,5.39889,1852.23,0.962924,0.900468,0.98246,1852.23,0.985145
301,5.41016,1848.37,0.961384,0.895478,0.98254,1848.37,0.984623
300,5.42148,1844.51,0.958628,0.893804,0.982619,1844.51,0.983216
299,5.43285,1840.65,0.963593,0.890226,0.982699,1840.65,0.982304
298,5.44426,1836.8,0.964058,0.886883,0.982779,1836.8,0.983742
297,5.45572,1832.94,0.964479,0.888438,0.982859,1832.94,0.98376
296,5.46723,1829.08,0.961647,0.882959,0.982936,1829.08,0.981375
295,5.47879,1825.22,0.960535,0.880415,0.983011,1825.22,0.985768
294,5.4904,1821.36,0.965096,0.883336,0.983091,1821.36,0.982594
293,5.50206,1817.5,0.966266,0.8887,0.983174,1817.5,0.984071
292,5.51376,1813.64,0.967015,0.891423,0.983261,1813.64,0.984194
291,5.52552,1809.78,0.967796,0.893315,0.983353,1809.78,0.985727
290,5.53733,1805.92,0.968959,0.896175,0.983448,1805.92,0.987167
289,5.54918,1802.07,0.968909,0.899865,0.983553,1802.07,0.984942
288,5.56109,1798.21,0.96713,0.901699,0.98366,1798.21,0.987946
287,5.57305,1794.35,0.966149,0.900861,0.983769,1794.35,0.989483
286,5.58506,1790.49,0.970227,0.901157,0.983881,1790.49,0.989386
285,5.59712,1786.63,0.970549,0.902737,0.983994,1786.63,0.990046
284,5.60924,1782.77,0.970684,0.90275,0.984115,1782.77,0.987985
283,5.62141,1778.91,0.973214,0.90478,0.984236,1778.91,0.990508
282,5.63363,1775.05,0.972099,0.902985,0.984358,1775.05,0.990054
281,5.6459,1771.2,0.973394,0.900234,0.984488,1771.2,0.987228
